time,z
224.8,18.62
225,36.06
225.2,21.08
225.4,20.52
225.6,34.95
225.8,23.68
226,17
226.2,31.38
226.4,29.11
226.6,17.92
226.8,16.98
227,37.65
227.2,23.65
227.4,14.08
227.6,11.96
227.8,40.57
228,25.18
228.2,15.72
228.4,22.23
228.6,34.63
228.8,20.26
229,12.09
229.2,12.02
229.4,41.47
229.6,23.92
229.8,16.33
230,30.12
230.2,30.03
230.4,18.05
230.6,14.09
230.8,37.43
231,26.27
231.2,15.34
231.4,9.11
231.6,9.602
231.8,43.22
232,24.52
232.2,19.35
232.4,33.12
232.6,26.94
232.8,18.47
233,26.67
233.2,31.71
233.4,20.05
233.6,17.87
233.8,36.38
234,24.58
234.2,15.48
234.4,21.55
234.6,35.04
234.8,20.43
235,12.05
235.2,8.913
235.4,38.76
235.6,27.64
235.8,18.2
236,26.92
236.2,31.62
236.4,19.8
236.6,17.26
236.8,36.66
237,24.81
237.2,15.27
237.4,18.33
237.6,37.15
237.8,21.62
238,12.7
238.2,8.168
238.4,26.98
238.6,32.05
238.8,19.85
239,23.33
239.2,33.59
239.4,21.81
239.6,17.55
239.8,34.94
240,26.35
240.2,16.65
240.4,21.17
240.6,35.28
240.8,21
241,12.89
241.2,18.61
241.4,36.76
241.6,20.88
241.8,13.61
242,27.81
242.2,31.56
242.4,18.22
242.6,10.88
242.8,12.27
243,41.3
243.2,23.32
243.4,17.23
243.6,33.17
243.8,27.88
244,17.37
244.2,18.8
244.4,36.75
244.6,22.33
244.8,13.5
245,15.37
245.2,39.15
245.4,22.42
245.6,14.18
245.8,24.07
246,33.53
246.2,19.31
246.4,11.38
246.6,8.441
246.8,38.99
247,27.71
247.2,18.61
247.4,27.93
247.6,30.92
247.8,19.73
248,19.05
248.2,36.08
248.4,23.63
248.6,15.43
248.8,25.92
249,32.47
249.2,19.02
249.4,11.71
249.6,19.27
249.8,36.16
250,20.56
250.2,14.98
250.4,34.54
250.6,27.78
250.8,16.34
251,10.68
251.2,29.1
251.4,31.12
251.6,18.39
251.8,17.1
252,37.47
252.2,23.83
252.4,14.29
252.6,13.61
252.8,40.22
253,23.84
253.2,14.7
253.4,20.27
253.6,35.83
253.8,20.65
254,12.17
254.2,8.775
254.4,37.59
254.6,28.14
254.8,18.37
255,26.35
255.2,31.94
255.4,20.05
255.6,17.22
255.8,36.49
256,25.04
256.2,15.45
256.4,18.58
256.6,36.98
256.8,21.57
257,12.65
257.2,7.565
257.4,10.98
257.6,41.67
257.8,23.49
258,21.17
258.2,33.58
258.4,25.06
258.6,19.16
258.8,31.5
259,28.31
259.2,19.04
259.4,24.43
259.6,33.02
259.8,21.05
260,17.31
260.2,35.66
260.4,25.83
260.6,16.13
260.8,19.98
261,36.06
261.2,21.25
261.4,12.6
261.6,10.56
261.8,41.31
262,25.6
262.2,16.85
262.4,27.32
262.6,31.56
262.8,19.07
263,14.37
263.2,36.13
263.4,27.02
263.6,15.78
263.8,9.335
264,8.348
264.2,43.29
264.4,25.78
264.6,19.37
264.8,31.82
265,28.01
265.2,19.02
265.4,25.2
265.6,32.54
265.8,20.8
266,17.86
266.2,35.89
266.4,25.19
266.6,16.01
266.8,22.35
267,34.55
267.2,20.33
267.4,12.32
267.6,15.99
267.8,38.55
268,21.81
268.2,14.88
268.4,31.04
268.6,29.77
268.8,17.43
269,10.86
269.2,21.75
269.4,34.59
269.6,19.92
269.8,16.3
270,36.67
270.2,25.58
270.4,15.37
270.6,14.14
270.8,39.67
271,24.07
271.2,14.37
271.4,14
271.6,40.02
271.8,23.6
272,14.49
272.2,19.53
272.4,36.3
272.6,20.87
272.8,12.39
273,11.33
273.2,41.65
273.4,24.65
273.6,16.48
273.8,28.65
274,30.85
274.2,18.54
274.4,13.98
274.6,36.49
274.8,26.95
275,15.72
275.2,9.273
275.4,7.418
275.6,41.72
275.8,27.06
276,19.72
276.2,30.61
276.4,28.79
276.6,19.65
276.8,24.67
277,32.75
277.2,21.35
277.4,18.55
277.6,35.4
277.8,25.16
278,16.55
278.2,25.58
278.4,32.6
278.6,19.49
278.8,13.31
279,31.85
279.2,29.61
279.4,17.17
279.6,10.46
279.8,17.28
280,37.26
280.2,21.19
280.4,17.21
280.6,35.73
280.8,25.85
281,16.07
281.2,19.33
281.4,36.48
281.6,21.49
281.8,12.67
282,8.996
282.2,36.63
282.4,28.44
282.6,18.26
282.8,25.22
283,32.65
283.2,20.33
283.4,16.25
283.6,36.08
283.8,26.13
284,15.75
284.2,14.63
284.4,39.36
284.6,23.93
284.8,14.15
285,11.6
285.2,40.32
285.4,25.63
285.6,15.97
285.8,22.06
286,34.73
286.2,20.4
286.4,12.28
286.6,14.26
286.8,39.88
287,22.61
287.2,15.42
287.4,30.64
287.6,29.9
287.8,17.65
288,11.85
288.2,31.39
288.4,30.03
288.6,17.56
288.8,13.75
289,37.87
289.2,26.14
289.4,15.29
289.6,9.711
289.8,25.33
290,32.76
290.2,19.43
290.4,19.26
290.6,36.11
290.8,23.23
291,15.1
291.2,25.74
291.4,32.58
291.6,18.99
291.8,11.4
292,13.38
292.2,40.46
292.4,22.84
292.6,16.47
292.8,32.87
293,28.34
293.2,17.21
293.4,15.56
293.6,38.46
293.8,24.17
294,14.16
294.2,8.344
294.4,6.621
294.6,41.48
294.8,27.48
295,20.45
295.2,30.64
295.4,28.46
295.6,20.17
295.8,26.32
296,31.57
296.2,21.22
296.4,20.99
296.6,34.55
296.8,23.73
297,17.65
297.2,32.28
297.4,28.33
297.6,17.9
297.8,20.04
298,35.92
298.2,22.05
298.4,13.97
298.6,23.41
298.8,33.89
299,19.48
299.2,11.58
299.4,11.31
299.6,41.93
299.8,24.23
300,16.93
