time,A,B
2.760000000000000142e+01,"(8.5104, 6.7407)","(8.3349, -5.27)"
2.770000000000000284e+01,"(5.2295, 4.7879)","(8.6887, -6.6498)"
2.780000000000000071e+01,"(7.8055, 8.5782)","(15.3354, -12.031)"
2.790000000000000213e+01,"(15.3398, 17.2778)","(19.7201, -16.0231)"
2.800000000000000000e+01,"(17.6129, 17.5469)","(10.2433, -9.4096)"
2.810000000000000142e+01,"(8.6879, 6.0024)","(4.5668, -4.2829)"
2.820000000000000284e+01,"(3.0883, 2.1797)","(5.4398, -4.4195)"
2.830000000000000071e+01,"(3.1111, 3.3345)","(12.2842, -9.5643)"
2.840000000000000213e+01,"(7.7921, 9.0867)","(23.1689, -18.2734)"
2.850000000000000000e+01,"(19.5346, 22.5879)","(13.3862, -12.1719)"
2.860000000000000142e+01,"(17.6275, 15.702)","(4.1828, -4.6852)"
2.870000000000000284e+01,"(8.4772, 3.3001)","(0.9857, -1.2768)"
2.880000000000000071e+01,"(6.9328, 0.8431)","(0.7688, -1.2286)"
2.890000000000000213e+01,"(13.2427, 0.9348)","(2.1419, -3.4989)"
2.900000000000000000e+01,"(26.6483, 1.615)","(7.4022, -12.0393)"
2.910000000000000142e+01,"(22.1709, -0.8703)","(20.2995, -33.5914)"
2.920000000000000284e+01,"(7.907, -2.0733)","(7.3731, -17.2499)"
2.930000000000000071e+01,"(1.9998, -0.6151)","(2.9444, -12.8321)"
2.940000000000000213e+01,"(1.1067, -0.0054)","(2.7502, -16.3609)"
2.950000000000000000e+01,"(3.3041, 0.2678)","(3.175, -20.8259)"
2.960000000000000142e+01,"(11.1943, 1.0169)","(2.1365, -17.0275)"
2.970000000000000284e+01,"(34.6047, 2.8729)","(1.2769, -11.2883)"
2.980000000000000071e+01,"(23.0743, -2.5719)","(1.6215, -11.394)"
2.990000000000000213e+01,"(11.3574, -6.9601)","(2.7685, -17.3968)"
3.000000000000000000e+01,"(11.5731, -10.0509)","(3.4179, -22.6533)"
3.010000000000000142e+01,"(15.1789, -14.1443)","(1.8054, -15.9402)"
3.020000000000000284e+01,"(13.0817, -13.4882)","(0.957, -9.2824)"
3.030000000000000071e+01,"(8.0106, -9.0721)","(1.4815, -10.0895)"
3.040000000000000213e+01,"(7.4639, -7.6082)","(2.9377, -17.8597)"
3.050000000000000000e+01,"(11.5763, -10.7149)","(3.8523, -25.0786)"
3.060000000000000142e+01,"(16.6981, -15.5936)","(1.5179, -15.3291)"
3.070000000000000284e+01,"(12.5246, -13.4271)","(0.549, -7.0411)"
3.080000000000000071e+01,"(6.439, -7.7521)","(1.02, -7.0086)"
3.090000000000000213e+01,"(6.299, -6.3653)","(2.5157, -14.779)"
3.100000000000000000e+01,"(11.4486, -10.355)","(4.6482, -28.0744)"
3.110000000000000142e+01,"(18.6087, -17.0522)","(1.9555, -18.9595)"
3.120000000000000284e+01,"(12.6072, -13.9461)","(0.0471, -6.7573)"
3.130000000000000071e+01,"(4.8523, -6.6388)","(0.0029, -1.5904)"
3.140000000000000213e+01,"(3.9276, -4.1393)","(0.1649, -1.1043)"
3.150000000000000000e+01,"(8.414, -7.4721)","(0.6152, -3.4212)"
3.160000000000000142e+01,"(18.7077, -16.3882)","(2.1744, -11.8374)"
3.170000000000000284e+01,"(17.9944, -18.3589)","(6.4413, -36.0293)"
3.180000000000000071e+01,"(4.905, -8.3335)","(1.4773, -21.4159)"
3.190000000000000213e+01,"(1.0127, -2.5534)","(-1.7594, -13.4272)"
3.200000000000000000e+01,"(0.2005, -1.3328)","(-3.2075, -15.781)"
3.210000000000000142e+01,"(0.2747, -3.1759)","(-4.4681, -20.2665)"
3.220000000000000284e+01,"(0.9403, -10.4182)","(-4.2415, -17.2124)"
3.230000000000000426e+01,"(2.7569, -32.6822)","(-3.003, -11.4391)"
3.239999999999999858e+01,"(-1.9686, -25.2819)","(-2.6114, -11.1161)"
3.250000000000000000e+01,"(-6.6804, -11.4692)","(-3.5893, -16.6147)"
3.260000000000000142e+01,"(-9.5335, -11.1065)","(-4.9116, -22.1093)"
3.270000000000000284e+01,"(-13.9275, -15.0755)","(-4.1943, -16.2547)"
3.280000000000000426e+01,"(-14.0615, -13.8376)","(-2.5928, -9.4828)"
3.289999999999999858e+01,"(-9.4111, -8.2419)","(-2.2787, -9.8882)"
3.300000000000000000e+01,"(-7.3004, -7.0146)","(-3.603, -17.1104)"
3.310000000000000142e+01,"(-9.9812, -10.7542)","(-5.3649, -24.4388)"
3.320000000000000284e+01,"(-15.3423, -16.6147)","(-4.2346, -15.5919)"
3.330000000000000426e+01,"(-14.3596, -13.7113)","(-2.175, -7.3107)"
3.339999999999999858e+01,"(-8.1846, -6.664)","(-1.6616, -7.1886)"
3.350000000000000000e+01,"(-5.8694, -5.616)","(-3.0211, -14.7445)"
