time,A_x,A_y,A_z,B_x,B_y,B_z,C_x,C_y,C_z,D_x,D_y,D_z,E_x,E_y,E_z,F_x,F_y,F_z,G_x,G_y,G_z,H_x,H_y,H_z,I_x,I_y,I_z
13.4,-6.978082,0.68241121,14.40403,-2.6604859,-1.2470061,19.171133,-2.5235478,19.620621,31.5457,-9.5673619,-2.475103,14.851887,11.965996,13.561427,22.161311,-2.983704,2.2990753,17.84866,-1.7254538,1.9597369,26.114335,-0.54426735,-4.7920861,14.641483,-5.0861291,7.6650636,36.639195
13.6,-22.250113,3.350384,26.341818,-9.2401681,-4.9563314,14.094924,0.26595661,5.5330879,28.926662,-20.875031,-3.6623052,33.592739,8.3566743,6.3643254,34.479372,-11.099965,8.6367012,15.608967,1.4674525,2.5261584,15.452267,-2.1451176,-19.44233,18.880398,-0.27952732,2.2413368,20.816872
13.8,-4.2905427,4.7502476,32.286563,-18.977886,-8.8617999,35.431334,-0.70541442,4.6912832,17.993677,-3.9897075,0.82774068,28.37264,2.5832652,2.3775009,21.663398,-10.123752,12.558072,38.157324,6.4560291,11.446083,13.036867,-2.8200798,-9.6661293,36.74372,-0.47052567,7.3756439,13.603216
14,-0.22322385,0.38411562,18.689162,-3.3105216,-0.64749747,27.547162,-2.8768366,16.066746,18.178159,-1.3484023,-0.2411759,16.652212,6.423024,7.4937259,15.551488,-0.53155479,1.9917251,24.542196,14.755708,9.9289349,39.731799,-0.57726814,-0.91330268,21.174064,-0.885378,23.2069,28.098977
14.2,-0.38930457,0.038735439,10.966589,-0.17249337,-0.035729582,16.063016,-0.20442,13.092569,37.020144,-5.9501326,-1.6433398,10.617015,14.497447,14.955917,32.954577,-0.71552733,0.61672439,14.403349,1.0807424,-2.0823901,25.096665,-1.6020567,-1.7846345,12.548618,1.3777982,5.4271571,31.419121
14.4,-2.4864075,0.13035252,6.5474862,-0.29546517,-0.16068826,9.4256864,0.10391223,2.1138969,22.997532,-24.461711,-5.8773126,25.716403,3.8536343,2.2242105,28.54949,-3.9803829,2.9487987,8.9521266,-1.9646176,-3.3074829,15.05716,-8.6341953,-9.7030651,10.852752,0.46396002,0.64523968,18.142103
14.6,-17.802033,0.98151174,9.692468,-2.0176105,-1.1223757,5.6236474,-0.72036416,4.0168495,13.980006,-5.6142529,2.1733324,32.60387,1.643877,1.764072,16.954442,-19.690116,15.437488,21.180576,-8.3664947,-14.345232,15.594251,-13.495923,-12.323119,41.520089,1.9239084,2.2138717,10.833746
14.8,-8.9265303,9.0302841,42.613437,-15.258372,-8.4660889,8.725823,-3.3655591,17.967833,16.42008,-2.3202594,3.5777056,19.075495,6.5844352,7.8919612,12.422076,-0.87188501,7.2410966,34.675862,-12.401964,-4.5949176,38.988735,-3.3476185,-1.0753225,25.221832,10.93355,12.638704,12.149301
15,3.8080301,5.6508508,24.034387,-12.652593,-3.3724168,43.294048,0.59538431,11.499294,38.41918,-7.6911435,12.132263,16.940495,15.464151,15.45032,36.600427,3.5439938,4.5065825,20.466081,-0.57074732,1.4777621,22.905306,-7.8571602,-1.6062549,16.686807,10.746897,8.1074053,41.387191
15.2,8.9514689,11.097461,22.181453,-7.1690566,1.4535642,24.461633,0.96223632,1.5304492,22.047692,-5.8422568,14.342829,37.225106,3.0739867,0.89273009,27.469231,10.10881,12.344491,20.383068,1.5806478,2.7248151,13.663099,-20.534964,-3.8158935,27.762924,4.1016522,0.47093602,23.379312
15.4,10.584416,8.8869966,32.862458,-13.922416,3.2514297,23.002273,3.2751671,3.7913077,13.562488,-0.51963735,2.499108,24.405999,2.7686933,-0.48505956,16.178251,10.266787,7.8500593,35.218783,7.5046664,13.411148,13.311128,-6.6848712,-0.20305868,31.326548,10.808923,0.5898788,17.300975
15.6,4.9989342,4.2003936,25.011531,-12.84925,3.8280293,32.235087,13.769801,15.745539,19.739578,-1.918158,3.0951455,14.736048,12.03148,-2.0863434,12.958736,3.0967038,2.4882839,23.341107,13.654854,5.8650768,40.511103,-2.9661669,-0.48895147,18.871202,19.121536,0.051016661,33.171618
15.8,7.4067976,9.2164003,20.336745,-6.8577781,1.9958904,25.015949,7.5831687,4.8130091,36.085091,-8.871731,13.661575,15.015665,18.223139,-5.6991507,38.951896,5.7772068,7.1661719,16.396471,0.035214686,-2.5496783,23.730165,-10.706488,-2.2556542,14.153046,4.8506011,-0.6747808,27.852222
16,11.92714,11.651646,31.985573,-12.181409,2.8335203,21.362719,1.6148582,0.10874306,20.590588,-4.0848824,13.007403,39.376115,1.6968002,-1.8355464,25.797211,14.060683,15.27193,30.83965,-3.2926481,-5.4371198,15.006088,-20.160615,-3.0942575,36.153111,5.0472311,0.19481578,17.394877
16.2,5.4457727,3.7451296,27.345289,-15.034458,4.1851002,31.923493,5.2233975,-0.19463293,12.745541,0.64957662,1.6715072,23.114351,1.0504281,-2.9019598,15.302997,4.9111954,2.3840898,29.584417,-12.062274,-17.868503,23.872838,-3.1221283,0.20728338,27.09007,17.471215,0.97340051,19.104715
16.4,5.7304647,6.9711156,19.676191,-6.6950973,2.1205383,26.757085,22.056235,-1.0326265,20.819984,2.5097882,3.0809815,13.941418,4.7760488,-13.011977,13.431426,2.2433307,2.4764523,17.862319,-7.5840061,-0.26675194,33.644894,-0.15264193,0.012030446,15.806232,11.697905,-1.2274612,36.557818
16.6,12.150072,13.880182,27.963831,-10.042209,2.3511558,20.475542,7.5736541,-2.9121367,35.325495,11.319411,13.939276,15.99751,3.0128488,-16.481504,39.865452,7.8339675,10.12104,14.652274,-0.70402802,-0.016207259,19.529421,-0.20238525,-0.043547458,9.2734903,1.8573923,-0.23979814,22.203063
