time,A,B
2.520000000000000284e+01,"(-3.5229, 2.9767)","(0.1312, 8.6088)"
2.530000000000000071e+01,"(-10.1693, 8.5794)","(0.292, 17.6023)"
2.540000000000000213e+01,"(-25.8845, 22.3665)","(0.8148, 23.2706)"
2.550000000000000000e+01,"(-12.4134, 16.0291)","(1.2689, 12.0411)"
2.560000000000000142e+01,"(-2.6375, 9.5558)","(0.7972, 4.21)"
2.570000000000000284e+01,"(-0.9264, 11.1242)","(0.3948, 1.3559)"
2.580000000000000071e+01,"(-1.1493, 19.715)","(0.5601, 1.4266)"
2.590000000000000213e+01,"(-0.5082, 25.1205)","(1.1097, 2.7392)"
2.600000000000000000e+01,"(1.4628, 13.5647)","(2.4494, 6.0808)"
2.610000000000000142e+01,"(0.7548, 6.2597)","(5.562, 13.81)"
2.620000000000000284e+01,"(-0.191, 7.3862)","(9.628, 23.1341)"
2.630000000000000071e+01,"(-1.0832, 16.2709)","(6.8475, 13.9134)"
2.640000000000000213e+01,"(-1.4737, 29.5184)","(3.0655, 4.7812)"
2.650000000000000000e+01,"(1.8241, 17.0324)","(1.8155, 2.174)"
2.660000000000000142e+01,"(1.7974, 5.6051)","(2.652, 2.8238)"
2.670000000000000284e+01,"(0.5179, 1.2194)","(4.8234, 5.0989)"
2.680000000000000071e+01,"(0.2269, 0.3351)","(9.3884, 9.9408)"
2.690000000000000213e+01,"(0.5758, 0.693)","(14.9889, 15.597)"
2.700000000000000000e+01,"(2.0375, 2.4598)","(11.9254, 11.4355)"
2.710000000000000142e+01,"(8.021, 9.7469)","(5.3593, 4.5019)"
2.720000000000000284e+01,"(26.5909, 31.449)","(1.8685, 1.5235)"
2.730000000000000071e+01,"(17.47, 10.724)","(0.9348, 0.8881)"
2.740000000000000213e+01,"(16.5441, 2.7381)","(1.4858, 1.553)"
2.750000000000000000e+01,"(18.9409, 0.8318)","(3.1508, 3.3543)"
2.760000000000000142e+01,"(17.4637, -0.1351)","(7.2185, 7.7182)"
2.770000000000000284e+01,"(13.2716, -0.4534)","(14.9006, 15.7974)"
2.780000000000000071e+01,"(12.7707, -0.0179)","(15.5619, 15.4326)"
2.790000000000000213e+01,"(16.8201, 0.4779)","(6.8418, 5.5134)"
2.800000000000000000e+01,"(20.6334, 0.3986)","(2.8333, 1.7784)"
2.810000000000000142e+01,"(16.8042, -0.494)","(2.8744, 1.4228)"
2.820000000000000284e+01,"(11.7268, -0.5428)","(4.8573, 2.3056)"
2.830000000000000071e+01,"(12.2721, 0.1043)","(9.3554, 4.4555)"
2.840000000000000213e+01,"(18.0769, 0.6805)","(17.0499, 8.0571)"
2.850000000000000000e+01,"(22.0399, 0.3854)","(18.8744, 8.3814)"
2.860000000000000142e+01,"(15.4278, -0.8215)","(9.7125, 3.5944)"
2.870000000000000284e+01,"(9.8481, -0.5766)","(3.668, 1.1828)"
2.880000000000000071e+01,"(11.4757, 0.2293)","(1.3551, 0.4967)"
2.890000000000000213e+01,"(19.2632, 0.9194)","(1.5278, 0.6948)"
2.900000000000000000e+01,"(23.8606, 0.4164)","(3.0557, 1.4562)"
2.910000000000000142e+01,"(14.0694, -1.2193)","(6.8674, 3.3068)"
2.920000000000000284e+01,"(7.5714, -0.6603)","(15.3031, 7.3542)"
2.930000000000000071e+01,"(9.3764, 0.256)","(22.7916, 10.497)"
2.940000000000000213e+01,"(18.6719, 1.1201)","(12.2148, 4.5257)"
2.950000000000000000e+01,"(27.3669, 0.8759)","(4.5856, 1.1337)"
2.960000000000000142e+01,"(14.4698, -1.7198)","(2.7841, 0.3309)"
2.970000000000000284e+01,"(5.3085, -1.0788)","(4.1607, 0.3148)"
2.980000000000000071e+01,"(4.006, -0.0231)","(7.7399, 0.5768)"
2.990000000000000213e+01,"(9.5104, 0.6684)","(15.0307, 1.122)"
3.000000000000000000e+01,"(24.6411, 1.8712)","(22.0543, 1.3853)"
3.010000000000000142e+01,"(29.5703, 0.1082)","(14.7429, 0.2115)"
3.020000000000000284e+01,"(10.3134, -3.4596)","(5.9576, -0.2913)"
3.030000000000000071e+01,"(4.7764, -3.2905)","(1.986, -0.1063)"
3.040000000000000213e+01,"(7.1969, -6.1826)","(1.2149, 0.0366)"
3.050000000000000000e+01,"(16.1743, -14.0369)","(2.1659, 0.153)"
3.060000000000000142e+01,"(21.2117, -20.265)","(4.7288, 0.3703)"
3.070000000000000284e+01,"(6.5998, -10.1536)","(10.9845, 0.8801)"
3.080000000000000071e+01,"(1.4374, -3.5414)","(22.3961, 1.6835)"
3.090000000000000213e+01,"(0.2908, -1.9131)","(21.2759, 0.809)"
3.100000000000000000e+01,"(0.3643, -4.3161)","(8.2832, -0.5832)"
3.110000000000000142e+01,"(1.1774, -13.4175)","(3.2893, -0.6436)"
3.120000000000000284e+01,"(2.6804, -35.9534)","(3.4319, -1.0023)"
3.130000000000000071e+01,"(-3.0781, -19.428)","(5.7825, -1.7665)"
3.140000000000000213e+01,"(-5.8458, -9.4606)","(11.0226, -3.3521)"
3.150000000000000000e+01,"(-8.8367, -10.2292)","(18.9329, -5.8546)"
3.160000000000000142e+01,"(-14.3351, -15.7733)","(18.1324, -6.1772)"
3.170000000000000284e+01,"(-15.3552, -15.2455)","(8.4528, -3.4827)"
3.180000000000000071e+01,"(-9.2339, -7.6077)","(3.1606, -1.4009)"
3.190000000000000213e+01,"(-5.8484, -5.3392)","(1.6446, -0.6138)"
3.200000000000000000e+01,"(-8.1042, -8.8043)","(2.4886, -0.7835)"
3.210000000000000142e+01,"(-14.9746, -16.7274)","(5.1027, -1.5431)"
3.220000000000000284e+01,"(-17.0401, -17.0096)","(11.2087, -3.3605)"
3.230000000000000426e+01,"(-8.885, -6.5348)","(21.2391, -6.4976)"
3.239999999999999858e+01,"(-3.8477, -3.0607)","(18.806, -6.5368)"
3.250000000000000000e+01,"(-4.779, -5.1906)","(7.2321, -3.3095)"
3.260000000000000142e+01,"(-11.1219, -12.849)","(2.3366, -1.3603)"
3.270000000000000284e+01,"(-21.0806, -23.3192)","(1.6803, -1.2495)"
3.280000000000000426e+01,"(-12.8723, -9.6201)","(2.8162, -2.2016)"
3.289999999999999858e+01,"(-5.2748, -2.1316)","(5.7445, -4.4802)"
3.300000000000000000e+01,"(-3.4155, -0.4773)","(12.0618, -9.4066)"
3.310000000000000142e+01,"(-7.3278, -0.5861)","(18.4568, -14.7634)"
3.320000000000000284e+01,"(-20.2464, -1.6457)","(10.9921, -9.8773)"
3.330000000000000426e+01,"(-34.5886, -1.3813)","(3.7483, -4.0076)"
3.339999999999999858e+01,"(-13.0581, 3.688)","(1.0617, -1.3534)"
3.350000000000000000e+01,"(-6.1599, 4.0752)","(0.7612, -1.2184)"
3.360000000000000142e+01,"(-8.1615, 7.0308)","(1.3526, -2.2614)"
3.370000000000000284e+01,"(-16.2881, 14.3263)","(2.9401, -4.8985)"
3.380000000000000426e+01,"(-19.0877, 18.578)","(6.7085, -11.1571)"
3.389999999999999858e+01,"(-6.7892, 9.6143)","(12.2271, -20.7066)"
3.400000000000000000e+01,"(-2.1249, 3.3289)","(8.4289, -16.0349)"
3.410000000000000142e+01,"(-2.3548, 2.2998)","(2.483, -6.3148)"
3.420000000000000284e+01,"(-6.5302, 5.6117)","(0.7142, -2.7646)"
